 0,  40,  61,  83,  105,  116,  158,  173,  203,  213,  234
 1,  29,  46,  89,  109,  119,  153,  175,  196,  226,  243
 2,  41,  54,  72,  113,  122,  148,  177,  189,  216,  252
 3,  30,  62,  78,   94,  125,  143,  179,  205,  229,  238
 4,  42,  47,  84,   98,  128,  138,  181,  198,  219,  247
 5,  31,  55,  90,  102,  131,  156,  183,  191,  209,  233
 6,  43,  63,  73,  106,  134,  151,  162,  184,  222,  242
 7,  32,  48,  79,  110,  137,  146,  164,  200,  212,  251
 8,  44,  56,  85,  114,  117,  141,  166,  193,  225,  237
 9,  33,  64,  91,   95,  120,  159,  168,  186,  215,  246
10,  45,  49,  74,   99,  123,  154,  170,  202,  228,  232
11,  34,  57,  80,  103,  126,  149,  172,  195,  218,  241
12,  23,  65,  86,  107,  129,  144,  174,  188,  208,  250
13,  35,  50,  69,  111,  132,  139,  176,  204,  221,  236
14,  24,  58,  75,   92,  135,  157,  178,  197,  211,  245
15,  36,  66,  81,   96,  115,  152,  180,  190,  224,  231
16,  25,  51,  87,  100,  118,  147,  182,  206,  214,  240
17,  37,  59,  70,  104,  121,  142,  161,  199,  227,  249
18,  26,  67,  76,  108,  124,  160,  163,  192,  217,  235
19,  38,  52,  82,  112,  127,  155,  165,  185,  207,  244
20,  27,  60,  88,   93,  130,  150,  167,  201,  220,  230
21,  39,  68,  71,   97,  133,  145,  169,  194,  210,  239
22,  28,  53,  77,  101,  136,  140,  171,  187,  223,  248
